,true_value,predicted_value,is_correct
0,9,7,0
1,2,2,1
2,1,0,0
3,1,0,0
4,6,0,0
5,1,0,0
6,4,5,0
7,6,0,0
8,5,5,1
9,7,7,1
10,4,2,0
11,5,7,0
12,7,7,1
13,3,0,0
14,4,0,0
15,1,0,0
16,2,0,0
17,4,0,0
18,8,7,0
19,0,0,1
20,2,0,0
21,5,7,0
22,7,7,1
23,9,7,0
24,1,0,0
25,4,3,0
26,6,2,0
27,0,0,1
28,9,7,0
29,3,0,0
30,8,2,0
31,8,0,0
32,3,5,0
33,3,0,0
34,8,0,0
35,0,0,1
36,7,7,1
37,5,7,0
38,7,7,1
39,9,7,0
40,6,0,0
41,1,0,0
42,3,0,0
43,7,7,1
44,6,0,0
45,7,7,1
46,2,0,0
47,1,0,0
48,2,2,1
49,2,2,1
50,4,2,0
51,4,0,0
52,5,7,0
53,8,2,0
54,2,3,0
55,2,2,1
56,8,2,0
57,4,2,0
58,8,2,0
59,0,0,1
60,7,7,1
61,7,7,1
62,8,2,0
63,5,7,0
64,1,0,0
65,1,0,0
66,2,0,0
67,3,0,0
68,9,7,0
69,8,0,0
70,7,7,1
71,0,0,1
72,2,2,1
73,6,0,0
74,2,0,0
75,3,0,0
76,1,0,0
77,2,2,1
78,8,2,0
79,4,2,0
80,1,0,0
81,8,0,0
82,5,5,1
83,9,2,0
84,5,7,0
85,0,0,1
86,3,0,0
87,2,0,0
88,0,0,1
89,6,2,0
90,5,7,0
91,3,0,0
92,6,0,0
93,7,7,1
94,1,0,0
95,8,2,0
96,0,0,1
97,1,0,0
98,4,0,0
99,2,2,1
100,3,0,0
101,6,0,0
102,7,7,1
103,2,3,0
104,7,7,1
105,8,7,0
106,5,7,0
107,9,7,0
108,9,5,0
109,4,2,0
110,2,2,1
111,5,5,1
112,7,7,1
113,0,0,1
114,5,5,1
115,2,2,1
116,8,7,0
117,6,0,0
118,7,7,1
119,8,2,0
120,0,0,1
121,0,0,1
122,9,7,0
123,9,7,0
124,3,0,0
125,0,0,1
126,8,7,0
127,4,2,0
128,1,0,0
129,5,5,1
130,4,0,0
131,1,0,0
132,9,7,0
133,1,0,0
134,8,2,0
135,6,2,0
136,2,0,0
137,1,0,0
138,2,3,0
139,5,7,0
140,1,0,0
141,0,0,1
142,0,0,1
143,0,0,1
144,1,0,0
145,6,0,0
146,1,0,0
147,6,0,0
148,2,0,0
149,2,0,0
150,4,0,0
151,4,0,0
152,1,0,0
153,4,0,0
154,5,7,0
155,0,0,1
156,4,0,0
157,7,7,1
158,9,2,0
159,3,0,0
160,7,7,1
161,2,2,1
162,3,0,0
163,9,7,0
164,0,0,1
165,9,2,0
166,4,2,0
167,7,7,1
168,4,0,0
169,2,2,1
170,0,0,1
171,5,7,0
172,2,2,1
173,1,0,0
174,2,2,1
175,1,3,0
176,3,0,0
177,0,0,1
178,9,7,0
179,1,0,0
180,0,0,1
181,9,7,0
182,3,0,0
183,6,3,0
184,7,7,1
185,9,3,0
186,9,7,0
187,4,2,0
188,4,2,0
189,7,7,1
190,1,0,0
191,2,5,0
192,1,0,0
193,6,2,0
194,3,0,0
195,2,2,1
196,8,7,0
197,3,0,0
198,6,0,0
199,1,0,0
200,1,0,0
201,0,0,1
202,2,3,0
203,9,3,0
204,2,3,0
205,4,2,0
206,0,0,1
207,7,7,1
208,9,7,0
209,8,0,0
210,4,0,0
211,1,0,0
212,8,2,0
213,4,3,0
214,1,0,0
215,3,0,0
216,1,0,0
217,6,0,0
218,7,7,1
219,2,3,0
220,8,7,0
221,5,5,1
222,2,0,0
223,0,0,1
224,7,7,1
225,7,7,1
226,6,0,0
227,2,0,0
228,7,7,1
229,0,0,1
230,7,7,1
231,8,7,0
232,9,2,0
233,2,2,1
234,9,2,0
235,0,0,1
236,5,5,1
237,1,0,0
238,4,0,0
239,4,2,0
240,5,5,1
241,6,3,0
242,9,2,0
243,2,3,0
244,6,2,0
245,8,2,0
246,6,3,0
247,4,2,0
248,2,2,1
249,2,2,1
250,9,2,0
251,7,7,1
252,6,3,0
253,5,7,0
254,5,7,0
255,2,2,1
256,8,0,0
257,5,5,1
258,2,2,1
259,3,0,0
260,0,0,1
261,4,3,0
262,8,7,0
263,0,0,1
264,0,0,1
265,6,0,0
266,3,0,0
267,8,2,0
268,9,7,0
269,6,0,0
270,1,0,0
271,3,0,0
272,0,0,1
273,2,2,1
274,3,0,0
275,0,0,1
276,8,7,0
277,3,0,0
278,7,7,1
279,4,2,0
280,0,0,1
281,1,0,0
282,6,0,0
283,3,0,0
284,0,0,1
285,6,0,0
286,6,0,0
287,7,7,1
288,5,5,1
289,4,0,0
290,5,7,0
291,9,3,0
292,5,7,0
293,6,0,0
294,5,7,0
295,5,5,1
296,1,0,0
297,9,2,0
298,8,7,0
299,8,0,0
300,3,0,0
301,3,0,0
302,6,0,0
303,8,2,0
304,0,0,1
305,0,0,1
306,2,2,1
307,9,2,0
308,7,7,1
309,7,7,1
310,1,0,0
311,3,0,0
312,6,5,0
313,4,3,0
314,2,2,1
315,4,2,0
316,9,7,0
317,1,0,0
318,6,0,0
319,4,2,0
320,8,5,0
321,2,2,1
322,6,0,0
323,5,5,1
324,4,2,0
325,6,2,0
326,7,7,1
327,7,7,1
328,7,7,1
329,3,0,0
330,3,0,0
331,7,7,1
332,0,0,1
333,7,7,1
334,1,0,0
335,3,0,0
336,7,7,1
337,2,3,0
338,2,2,1
339,3,0,0
340,4,0,0
341,0,0,1
342,3,0,0
343,1,0,0
344,6,0,0
345,1,0,0
346,9,2,0
347,4,0,0
348,9,5,0
349,9,2,0
350,1,0,0
351,7,7,1
352,8,0,0
353,3,0,0
354,6,0,0
355,0,0,1
356,2,3,0
357,4,2,0
358,8,0,0
359,0,0,1
360,1,0,0
361,2,2,1
362,2,2,1
363,4,2,0
364,4,2,0
365,7,7,1
366,3,0,0
367,2,0,0
368,2,2,1
369,5,7,0
370,0,0,1
371,7,7,1
372,9,7,0
373,4,3,0
374,0,0,1
375,9,7,0
376,3,0,0
377,9,2,0
378,4,0,0
379,2,3,0
380,5,5,1
381,0,3,0
382,2,0,0
383,3,0,0
384,5,5,1
385,8,0,0
386,1,0,0
387,6,0,0
388,2,3,0
389,6,2,0
390,6,0,0
391,4,0,0
392,9,2,0
393,5,5,1
394,2,5,0
395,0,0,1
396,4,2,0
397,6,3,0
398,1,0,0
399,2,2,1
400,0,0,1
401,9,7,0
402,7,7,1
403,0,0,1
404,4,0,0
405,4,0,0
406,6,0,0
407,6,0,0
408,2,3,0
409,1,0,0
410,0,0,1
411,6,0,0
412,7,7,1
413,2,0,0
414,9,3,0
415,4,0,0
416,2,2,1
417,1,0,0
418,5,7,0
419,4,2,0
420,5,7,0
421,3,0,0
422,8,2,0
423,5,5,1
424,8,0,0
425,4,3,0
426,4,3,0
427,8,3,0
428,9,7,0
429,8,0,0
430,6,0,0
431,2,3,0
432,4,2,0
433,4,0,0
434,2,5,0
435,4,0,0
436,1,0,0
437,6,0,0
438,1,0,0
439,3,0,0
440,0,0,1
441,9,7,0
442,8,0,0
443,8,0,0
444,6,0,0
445,5,5,1
446,3,0,0
447,1,0,0
448,9,7,0
449,5,7,0
450,3,0,0
451,3,0,0
452,0,0,1
453,1,0,0
454,0,2,0
455,2,2,1
456,9,7,0
457,2,2,1
458,0,0,1
459,6,0,0
460,3,0,0
461,4,2,0
462,2,2,1
463,0,0,1
464,0,0,1
465,3,0,0
466,3,0,0
467,8,0,0
468,2,2,1
469,8,0,0
470,9,0,0
471,4,2,0
472,0,0,1
473,7,7,1
474,6,0,0
475,4,3,0
476,4,0,0
477,9,3,0
478,2,5,0
479,9,2,0
480,5,7,0
481,9,7,0
482,3,0,0
483,7,7,1
484,5,5,1
485,7,7,1
486,8,7,0
487,1,0,0
488,0,0,1
489,0,0,1
490,3,2,0
491,4,3,0
492,8,0,0
493,9,5,0
494,7,7,1
495,9,2,0
496,1,0,0
497,2,2,1
498,7,7,1
499,0,0,1
500,2,0,0
501,0,0,1
502,5,7,0
503,7,7,1
504,1,0,0
505,8,0,0
506,2,2,1
507,2,2,1
508,2,5,0
509,2,2,1
510,4,2,0
511,2,3,0
512,6,0,0
513,1,0,0
514,9,7,0
515,8,5,0
516,5,7,0
517,1,0,0
518,9,2,0
519,1,0,0
520,2,3,0
521,8,2,0
522,3,0,0
523,8,7,0
524,9,7,0
525,2,2,1
526,4,3,0
527,2,0,0
528,8,0,0
529,8,0,0
530,2,5,0
531,0,5,0
532,5,7,0
533,8,2,0
534,8,2,0
535,5,7,0
536,3,0,0
537,9,5,0
538,4,2,0
539,3,0,0
540,4,0,0
541,4,2,0
542,5,7,0
543,1,0,0
544,0,0,1
545,1,0,0
546,2,3,0
547,0,0,1
548,6,3,0
549,9,3,0
550,6,0,0
551,1,0,0
552,5,7,0
553,1,0,0
554,1,0,0
555,1,0,0
556,9,5,0
557,3,0,0
558,4,2,0
559,5,5,1
560,3,0,0
561,6,0,0
562,6,2,0
563,6,0,0
564,4,2,0
565,6,0,0
566,0,0,1
567,5,7,0
568,8,0,0
569,3,0,0
570,3,0,0
571,4,0,0
572,6,0,0
573,7,7,1
574,7,7,1
575,8,2,0
576,9,2,0
577,0,0,1
578,3,0,0
579,8,0,0
580,7,7,1
581,6,0,0
582,7,7,1
583,9,3,0
584,3,0,0
585,4,0,0
586,6,0,0
587,6,0,0
588,5,7,0
589,0,0,1
590,1,0,0
591,1,0,0
592,5,5,1
593,9,0,0
594,4,0,0
595,6,0,0
596,5,7,0
597,7,7,1
598,8,0,0
599,1,0,0
600,2,2,1
601,9,2,0
602,7,3,0
603,7,7,1
604,1,0,0
605,0,0,1
606,9,3,0
607,3,0,0
608,2,3,0
609,9,7,0
610,0,0,1
611,7,7,1
612,6,3,0
613,8,7,0
614,2,2,1
615,7,7,1
616,0,0,1
617,2,2,1
618,3,0,0
619,8,3,0
620,2,2,1
621,2,2,1
622,6,3,0
623,9,7,0
624,3,0,0
625,0,0,1
626,7,7,1
627,8,7,0
628,6,2,0
629,2,2,1
630,9,7,0
631,4,0,0
632,2,0,0
633,6,0,0
634,6,2,0
635,8,3,0
636,0,0,1
637,4,0,0
638,4,3,0
639,4,2,0
640,7,7,1
641,5,5,1
642,8,0,0
643,4,0,0
644,9,5,0
645,1,0,0
646,0,0,1
647,5,5,1
648,4,2,0
649,4,2,0
650,4,2,0
651,0,0,1
652,0,0,1
653,4,0,0
654,5,7,0
655,6,0,0
656,0,0,1
657,4,0,0
658,5,7,0
659,4,0,0
660,1,0,0
661,3,3,1
662,1,0,0
663,1,0,0
664,6,3,0
665,4,2,0
666,3,0,0
667,8,7,0
